,origin_latitude,origin_longitude,destination_latitude,destination_longitude,regiao,date
21390,-12.9817061,-38.4646255,-13.01501,-38.485083,Salvador,2019-05-19 20:18:00.765
7408,-19.8568252,-43.9598817,-19.842963,-43.971961,Belo Horizonte,2019-05-20 22:28:36.756
44689,-16.7107309,-49.2558614,-16.718754999999998,-49.280464,Goiania,2019-05-20 12:49:51.267
48543,-23.479551,-46.602114,-23.479841,-46.604345,Sao Paulo,2019-05-20 14:10:56.457
34569,-8.124856,-34.900504,-8.130649,-34.909869,Recife,2019-05-19 12:14:55.606
20123,-23.6514104,-46.5356179,-23.6588365,-46.5347274,Abc,2019-05-19 17:24:29.059
43770,-23.9744781,-46.3161731,-23.9799054,-46.31259650000001,Santos,2019-05-19 15:51:39.329
36345,-15.831679199999998,-48.0525084,-15.831587,-48.054269,Brasilia,2019-05-20 11:44:01.120
7427,-23.5465775,-46.638631,-23.552228,-46.638066,Sao Paulo,2019-05-20 12:34:32.343
9883,-23.601743,-46.661976,-23.598483,-46.673049,Sao Paulo,2019-05-19 11:25:24.587
45141,-22.889665,-47.066691,-22.900133,-47.079216,Campinas,2019-05-20 14:10:35.074
32634,-30.040480100000003,-51.1843508,-30.030759000000003,-51.199552,Porto Alegre,2019-05-20 11:14:29.675
23138,-23.012493,-45.550304,-23.02643,-45.555503,Taubate,2019-05-20 15:42:17.035
10685,-23.5658059,-46.6508012,-23.570262,-46.688649,Sao Paulo,2019-05-19 11:32:23.097
23521,-12.990686,-38.452233,-13.0035019,-38.4661737,Restaurante Parceiro,2019-05-19 13:12:45.192
47756,-15.821281,-47.981532,-15.821405,-47.974443,Brasilia,2019-05-19 20:08:58.774
41562,-7.984234,-34.838338,-7.9911191000000015,-34.8419131,Restaurante Parceiro,2019-05-19 20:31:28.002
44319,-19.843824,-43.971301,-19.8394069,-44.00690609999999,Belo Horizonte,2019-05-20 19:14:45.623
38709,-20.421195,-54.58248199999999,-20.447034,-54.59690500000001,Campo Grande,2019-05-19 11:08:48.886
10824,-10.939541,-37.08006500000001,-10.928514,-37.08494500000001,Aracaju,2019-05-19 13:52:20.559
6556,-30.045534600000003,-51.2239414,-30.020229,-51.201063,Porto Alegre,2019-05-19 16:52:50.481
3528,-13.006642,-38.524403,-12.992859,-38.515482,Salvador,2019-05-20 17:36:28.727
30016,-23.594323000000006,-46.721119,-23.569584,-46.730332,Sao Paulo,2019-05-19 20:19:00.240
7568,-23.5215965,-46.6237451,-23.535388,-46.608183,Sao Paulo,2019-05-20 11:17:45.032
26624,-23.522712,-46.698853,-23.563235,-46.6989749,Sao Paulo,2019-05-19 20:57:01.311
28951,-25.4502545,-49.28171629999999,-25.450886,-49.279364,Curitiba,2019-05-19 22:41:26.077
25697,-23.485493,-46.610269,-23.49995,-46.619216,Sao Paulo,2019-05-20 14:58:10.224
44237,-23.3430338,-51.18393270000001,-23.3062515,-51.1977713,Londrina,2019-05-19 11:27:55.200
34890,-21.182366,-47.8082434,-21.1750669,-47.8286463,Ribeirao Preto,2019-05-19 12:19:06.232
23096,-15.79501,-47.916538,-15.809404999999998,-47.942099,Brasilia,2019-05-20 12:45:36.388
2522,-23.559656,-46.661994,-23.536368,-46.662093,Sao Paulo,2019-05-20 12:22:07.651
28761,-27.589754,-48.515281,-27.5826878,-48.5403184,Florianopolis,2019-05-19 12:12:32.379
28357,-8.124856,-34.900504,-8.111249299999999,-34.8898007,Recife,2019-05-20 19:22:27.095
26618,-20.304621,-40.298974,-20.2965525,-40.2935264,Vitoria,2019-05-19 15:10:36.940
5217,-19.9742624,-43.9445729,-19.9777347,-43.9808349,Belo Horizonte,2019-05-19 20:10:54.580
25433,-20.4577981,-54.5950447,-20.462769,-54.601097,Campo Grande,2019-05-20 12:53:15.113
21115,-22.73566,-43.431371,-22.755827,-43.448104,Nova Iguacu,2019-05-20 12:02:11.459
14124,-23.5590059,-46.6616761,-23.5533183,-46.65655870000001,Sao Paulo,2019-05-20 22:17:41.494
38894,-7.979286,-34.838023,-7.983031999999999,-34.838684,Recife,2019-05-19 13:05:07.203
47097,-23.556777,-46.658946,-23.5694188,-46.6618775,Sao Paulo,2019-05-20 19:37:33.468
26506,-23.62046,-46.681166,-23.6192221,-46.6745751,Sao Paulo,2019-05-19 22:45:15.697
27744,-23.5502035,-46.5716291,-23.539118,-46.562013,Sao Paulo,2019-05-20 12:12:55.220
8826,-25.475231,-49.288918,-25.4845042,-49.2980111,Curitiba,2019-05-20 20:42:27.581
17943,-20.4514008,-54.5932609,-20.451295,-54.599799,Campo Grande,2019-05-20 16:51:23.876
10019,-23.591199,-46.619069,-23.606044600000004,-46.6224274,Sao Paulo,2019-05-20 20:17:53.069
8969,-23.6232744,-46.6987262,-23.621277,-46.688044,Sao Paulo,2019-05-20 20:58:04.170
15527,-22.9245435,-43.37059240000001,-22.929325,-43.354913,Rio - Jacarepagua,2019-05-20 21:35:10.508
47018,-3.7988468,-38.4799821,-3.812586,-38.4751831,Fortaleza,2019-05-20 20:25:00.319
18836,-13.011634,-38.491249,-13.0004024,-38.4650338,Salvador,2019-05-20 18:13:42.814
23276,-8.032147,-34.913472,-8.058964,-34.889824,Recife,2019-05-19 11:54:39.936
