"ch06","nivel_ed","htot","calif","p47t"
46,"1_H/Sec inc",45,"2_Op./No calif.",6000
26,"2_Sec. comp y más",25,"2_Op./No calif.",5000
47,"2_Sec. comp y más",25,"2_Op./No calif.",5000
52,"1_H/Sec inc",90,"2_Op./No calif.",11000
45,"1_H/Sec inc",44,"2_Op./No calif.",9500
38,"2_Sec. comp y más",72,"1_Prof./Tecn.",6000
40,"2_Sec. comp y más",44,"2_Op./No calif.",9000
53,"1_H/Sec inc",72,"2_Op./No calif.",4260
24,"1_H/Sec inc",55,"2_Op./No calif.",3800
44,"2_Sec. comp y más",60,"2_Op./No calif.",10517
72,"1_H/Sec inc",15,"1_Prof./Tecn.",8300
40,"2_Sec. comp y más",42,"2_Op./No calif.",4900
43,"2_Sec. comp y más",15,"1_Prof./Tecn.",11000
47,"2_Sec. comp y más",45,"2_Op./No calif.",9000
40,"1_H/Sec inc",14,"2_Op./No calif.",3500
40,"1_H/Sec inc",55,"2_Op./No calif.",8000
43,"1_H/Sec inc",48,"2_Op./No calif.",2500
43,"1_H/Sec inc",72,"2_Op./No calif.",7500
42,"1_H/Sec inc",72,"2_Op./No calif.",5000
29,"1_H/Sec inc",20,"2_Op./No calif.",5500
44,"2_Sec. comp y más",36,"1_Prof./Tecn.",7000
25,"2_Sec. comp y más",36,"2_Op./No calif.",6500
48,"1_H/Sec inc",30,"2_Op./No calif.",3000
19,"2_Sec. comp y más",25,"2_Op./No calif.",2000
53,"1_H/Sec inc",40,"2_Op./No calif.",9100
47,"1_H/Sec inc",36,"2_Op./No calif.",5100
40,"1_H/Sec inc",40,"2_Op./No calif.",7200
54,"1_H/Sec inc",70,"2_Op./No calif.",4800
37,"1_H/Sec inc",51,"2_Op./No calif.",2700
37,"1_H/Sec inc",24,"2_Op./No calif.",3000
40,"1_H/Sec inc",40,"1_Prof./Tecn.",10000
49,"1_H/Sec inc",54,"2_Op./No calif.",3000
47,"2_Sec. comp y más",42,"2_Op./No calif.",5000
37,"1_H/Sec inc",54,"2_Op./No calif.",6900
