price,num_bed,num_bath,size_house,size_lot,num_floors,is_waterfront,condition,size_basement,year_built,renovation_date,zip,latitude,longitude,avg_size_neighbor_houses,avg_size_neighbor_lot
221900,3,1,1180,5650,1,0,3,0,1955,0,98178,47.51123398,-122.2567754,1340,5650
538000,3,2.25,2570,7242,2,0,3,400,1951,1991,98125,47.72102274,-122.3188624,1690,7639
180000,2,1,770,10000,1,0,3,0,1933,0,98028,47.73792661,-122.233196,2720,8062
604000,4,3,1960,5000,1,0,5,910,1965,0,98136,47.52082,-122.3931851,1360,5000
510000,3,2,1680,8080,1,0,3,0,1987,0,98074,47.61681228,-122.0449006,1800,7503
1225000,4,4.5,5420,101930,1,0,3,1530,2001,0,98053,47.65611835,-122.0052866,4760,101930
257500,3,2.25,1715,6819,2,0,3,0,1995,0,98003,47.30972002,-122.3270486,2238,6819
229500,3,1,1780,7470,1,0,3,730,1960,0,98146,47.51229381,-122.3365951,1780,8113
323000,3,2.5,1890,6560,2,0,3,0,2003,0,98038,47.36840673,-122.0308176,2390,7570
662500,3,2.5,3560,9796,1,0,3,1700,1965,0,98007,47.60065993,-122.1452957,2210,8925
468000,2,1,1160,6000,1,0,4,300,1942,0,98115,47.69003563,-122.2923037,1330,6000
310000,3,1,1430,19901,1.5,0,4,0,1927,0,98028,47.75584254,-122.228745,1780,12697
530000,5,2,1810,4850,1.5,0,3,0,1900,0,98107,47.66998032,-122.3937899,1360,4850
650000,4,3,2950,5000,2,0,3,970,1979,0,98126,47.57136955,-122.3754122,2140,4000
395000,3,2,1890,14040,2,0,3,0,1994,0,98019,47.72770816,-121.9618986,1890,14018
485000,4,1,1600,4300,1.5,0,4,0,1916,0,98103,47.66478645,-122.3428161,1610,4300
189000,2,1,1200,9850,1,0,4,0,1921,0,98002,47.30888184,-122.2104479,1060,5095
230000,3,1,1250,9774,1,0,4,0,1969,0,98003,47.33426258,-122.305714,1280,8850
385000,4,1.75,1620,4980,1,0,4,760,1947,0,98133,47.70254623,-122.3409291,1400,4980
2000000,3,2.75,3050,44867,1,0,3,720,1968,0,98040,47.53164379,-122.2334588,4110,20336
285000,5,2.5,2270,6300,2,0,3,0,1995,0,98092,47.32658071,-122.1689262,2240,7005
252700,2,1.5,1070,9643,1,0,3,0,1985,0,98030,47.35328009,-122.1661101,1220,8386
329000,3,2.25,2450,6500,2,0,4,0,1985,0,98030,47.37386303,-122.1722898,2200,6865
233000,3,2,1710,4697,1.5,0,5,0,1941,0,98002,47.30482931,-122.2177491,1030,4705
937000,3,1.75,2450,2691,2,0,3,700,1915,0,98119,47.63855772,-122.3598557,1760,3573
438000,3,1.75,1520,6380,1,0,3,730,1948,0,98115,47.69499723,-122.3035471,1520,6235
580500,3,2.5,2320,3980,2,0,3,0,2003,0,98027,47.5391103,-122.0697148,2580,3980
280000,2,1.5,1190,1265,3,0,3,0,2005,0,98133,47.72735963,-122.3569852,1390,1756
