price,num_bed,num_bath,size_house,size_lot,num_floors,is_waterfront,condition,size_basement,year_built,renovation_date,zip,latitude,longitude,avg_size_neighbor_houses,avg_size_neighbor_lot
685000,4,2.5,2650,25248,1.0,0,3,320,1954,0,98177,47.7536899,-122.3727544,3020,23135
613000,3,1.5,1470,4480,1.0,0,4,340,1918,0,98105,47.66930968,-122.29108059999999,2120,4480
849000,4,1.5,2440,8040,1.0,0,4,1000,1950,0,98177,47.70812177,-122.3740499,2140,7920
570000,3,2.0,1530,5401,1.0,0,4,0,1937,0,98115,47.68595005,-122.30376709999999,1640,5467
660000,3,2.5,2330,3995,2.0,0,3,0,2006,0,98029,47.55415432,-122.0012746,2330,3740
795000,3,1.75,1930,9600,1.0,0,3,0,1958,0,98040,47.57473598,-122.2373676,2350,9840
218000,3,1.0,980,12812,1.0,0,3,0,1956,0,98168,47.48920813,-122.3063538,1430,8986
334000,4,2.5,2310,6200,2.0,0,3,0,1998,0,98092,47.33209432,-122.1716206,2480,6200
732000,4,1.75,2360,11300,1.0,0,4,0,1974,0,98006,47.57275398,-122.1628274,2290,11951
1475000,3,2.75,3910,7080,1.0,0,5,1940,1949,0,98112,47.63237902,-122.288551,3480,7370
440000,3,1.75,1450,6829,1.0,0,3,0,1983,0,98052,47.72215535,-122.10784450000001,1950,7622
229500,3,1.0,1230,6000,1.0,0,4,0,1967,0,98002,47.32558988,-122.2085774,1240,6000
515000,3,2.5,3000,8250,1.0,0,4,1240,1963,0,98008,47.61906695,-122.11240959999999,2040,8250
400000,3,2.5,2393,4788,2.0,0,3,0,2012,0,98055,47.45168926,-122.2039529,2439,5477
480000,4,2.5,3230,16171,2.0,0,3,710,2001,0,98001,47.31825469,-122.2534985,2640,8517
235000,2,1.0,1270,3008,1.0,0,4,620,1923,0,98118,47.53506211,-122.27884750000001,1270,1514
435000,3,1.0,1400,4800,1.0,0,4,700,1917,0,98136,47.54985286,-122.3914601,1470,6000
369000,3,1.75,1300,3844,1.0,0,3,0,1985,0,98133,47.70239882,-122.35456029999999,1290,3844
580000,3,2.75,2650,9752,1.0,0,3,0,1989,0,98028,47.76804138,-122.2591186,3030,9910
491500,3,2.25,2230,13100,1.0,0,4,720,1974,0,98006,47.54125762,-122.1739085,2010,10650
