Nome	Eixo Economico	Eixo Diplomático	Eixo Civil	Eixo Social
aluno 1	54,30	30,30	68,10	30,70
elefante	55,50	29,80	69,60	23,80
aluno 3	53,70	37,80	60,80	27,90
aluno 4	64,00	31,90	65,00	26,60
cachorro	53,00	35,60	61,50	30,60
aluno 6	59,10	42,60	66,50	26,10
gaivota	50,00	40,40	65,00	29,10
aluno 8	60,40	30,30	66,50	22,10
marcos	43,30	35,10	63,50	25,80
aluno 9	59,70	39,90	68,50	30,50
aluno 10	64,00	37,80	63,10	27,00
aluno 11	55,50	39,40	71,20	21,60
Pato	60,40	35,60	61,50	30,00
neymar	59,80	26,60	70,80	26,20
aluno 14	67,70	33,00	65,40	22,60
nietszche	53,00	29,30	71,20	18,70
aluno 16	47,00	40,40	68,10	33,40
aluno 17	48,80	39,40	73,10	29,50
QWERT	62,80	22,90	69,20	15,20
André S	17,10	67,60	54,60	61,10
Avi	57,30	30,90	63,50	21,10
Guilherme	36,60	41,00	70,80	23,60
R2D2	54,30	37,20	48,50	42,20
victor	21,30	60,10	62,30	22,80
9iz	40,90	50,00	48,10	40,10
aluno 18	57,90	26,60	64,20	32,90
Victor M	60,40	9,00	84,60	15,50
Arthur	65,90	26,60	67,30	29,10
Amoedo	52,40	27,70	56,90	33,70
Pandas	56,10	30,90	61,90	23,10
outlier	79,90	27,10	68,80	23,40
AW	16,50	51,60	71,20	32,60
Humberto	36,60	42,00	56,90	42,40
Carol	64,00	31,90	61,90	26,60
Marcus V 	50,60	31,90	60,00	29,30
Joao M	42,10	47,30	59,20	35,70
Magno	64,00	34,60	58,80	27,00
Aluno 33	73,80	20,20	70,80	17,90
Pável	60,40	38,30	55,00	39,00
Romero>Neymar	53,70	26,60	65,80	25,40
CHR	34,80	49,50	49,20	48,70
aluno_05	56,7	41,5	61,5	37,8
