Lag1,Lag2,Lag3,Lag4,Lag5,Volume,Today,Direction
381,-192,-2624,-1055,5.01,1.1913,959,Up
959,381,-192,-2624,-1055,1.2965,1032,Up
1032,959,381,-192,-2624,1.4112,-623,Down
-623,1032,959,381,-192,1276,614,Up
614,-623,1032,959,381,1.2057,213,Up
213,614,-623,1032,959,1.3491,1392,Up
1392,213,614,-623,1032,1445,-403,Down
-403,1392,213,614,-623,1.4078,27,Up
27,-403,1392,213,614,1164,1303,Up
1303,27,-403,1392,213,1.2326,287,Up
287,1303,27,-403,1392,1309,-498,Down
-498,287,1303,27,-403,1258,-189,Down
-189,-498,287,1303,27,1098,0.68,Up
0.68,-189,-498,287,1303,1.0531,701,Up
701,0.68,-189,-498,287,1.1498,-562,Down
-562,701,0.68,-189,-498,1.2953,546,Up
546,-562,701,0.68,-189,1.1188,-1747,Down
-1747,546,-562,701,0.68,1.0484,359,Up
359,-1747,546,-562,701,1013,-151,Down
-151,359,-1747,546,-562,1.0596,-841,Down
-841,-151,359,-1747,546,1.1583,-623,Down
-623,-841,-151,359,-1747,1.1072,-1334,Down
-1334,-623,-841,-151,359,1.0755,1183,Up
1183,-1334,-623,-841,-151,1.0391,-865,Down
-865,1183,-1334,-623,-841,1.0752,-218,Down
-218,-865,1183,-1334,-623,1.1503,812,Up
812,-218,-865,1183,-1334,1.1537,-1891,Down
-1891,812,-218,-865,1183,1.2572,-1736,Down
-1736,-1891,812,-218,-865,1.1122,-1851,Down
-1851,-1736,-1891,812,-218,1.2085,-195,Down
-195,-1851,-1736,-1891,812,1.3659,-556,Down
-556,-195,-1851,-1736,-1891,1.2313,1749,Up
1749,-556,-195,-1851,-1736,1.1308,-766,Down
-766,1749,-556,-195,-1851,1.1141,-1431,Down
-1431,-766,1749,-556,-195,1.2253,104,Up
104,-1431,-766,1749,-556,1.2949,-568,Down
-568,104,-1431,-766,1749,1294,586,Up
586,-568,104,-1431,-766,0.9292,998,Up
998,586,-568,104,-1431,1.0918,645,Up
645,998,586,-568,104,1.1322,226,Up
226,645,998,586,-568,1.1141,-2476,Down
