Month,Search
2010-09,28
2010-10,32
2010-11,30
2010-12,25
2011-01,31
2011-02,28
2011-03,29
2011-04,30
2011-05,25
2011-06,25
2011-07,22
2011-08,26
2011-09,24
2011-10,30
2011-11,22
2011-12,20
2012-01,25
2012-02,37
2012-03,26
2012-04,31
2012-05,28
2012-06,35
2012-07,27
2012-08,27
2012-09,38
2012-10,34
2012-11,48
2012-12,35
2013-01,34
2013-02,42
2013-03,37
2013-04,49
2013-05,84
2013-06,62
2013-07,65
2013-08,100
2013-09,72
2013-10,71
2013-11,71
2013-12,64
2014-01,61
2014-02,76
2014-03,80
2014-04,69
2014-05,69
2014-06,71
2014-07,69
2014-08,64
2014-09,64
2014-10,83
2014-11,57
2014-12,52
2015-01,64
2015-02,67
2015-03,61
2015-04,69
2015-05,87
2015-06,62
2015-07,65
2015-08,72
2015-09,77
2015-10,73
2015-11,57
2015-12,54
2016-01,50
2016-02,58
2016-03,57
2016-04,100
2016-05,54
2016-06,46
2016-07,42
2016-08,36
