,Index,Name,Abbr,PJ,G,E,P,GF,GC,DIF,PTS
0,1,Racing Club,RAC,6,5,1,0,11,2,+9,16
1,2,Atlético Tucumán,CAT,6,4,2,0,13,6,+7,14
2,3,River Plate,CARP,7,3,4,0,12,3,+9,13
3,4,Aldosivi,ALDO,6,4,0,2,7,4,+3,12
4,5,Huracán,HUR,6,3,2,1,8,3,+5,11
5,6,Boca Juniors,CABJ,6,3,1,2,5,4,+1,10
6,7,Rosario Central,ROS,6,3,1,2,5,4,+1,10
7,8,Godoy Cruz de Mendoza,GCM,6,3,1,2,5,5,0,10
8,9,Defensa y Justicia,DYJ,5,2,3,0,6,4,+2,9
9,10,Unión de Santa Fe,USF,6,2,3,1,5,4,+1,9
10,11,Gimnasia La Plata,GLP,6,2,2,2,5,5,0,8
11,12,Vélez Sarsfield,VEL,6,2,2,2,5,7,-2,8
12,13,Banfield,BAN,6,2,2,2,4,6,-2,8
13,14,Independiente,IND,6,1,4,1,8,6,+2,7
14,15,San Lorenzo,SL,6,1,4,1,9,9,0,7
15,16,Talleres de Córdoba,TDC,6,2,1,3,5,5,0,7
16,17,Belgrano de Córdoba,BEL,6,1,4,1,3,4,-1,7
17,18,Tigre,TIG,7,1,4,2,8,11,-3,7
18,19,Argentinos Juniors,ARGJ,6,1,3,2,2,2,0,6
19,20,Colón de Santa Fe,COL,6,1,3,2,6,8,-2,6
20,21,Newell's Old Boys,NOB,6,1,2,3,6,8,-2,5
21,22,San Martín de San Juan,SMSJ,6,1,2,3,6,11,-5,5
22,23,Estudiantes La Plata,EST,5,1,1,3,5,7,-2,4
23,24,San Martin de Tucuman,SAN,5,0,3,2,2,5,-3,3
24,25,Lanús,LAN,7,0,2,5,5,15,-10,2
25,26,Patronato,CAP,6,0,1,5,2,10,-8,1
